top1,hits_at_1,hits_at_3,hits_at_5,hit_at_1,precision_at_3,precision_at_5,mrr,best_hit_rank,miss_as_top1,family,dataset,task,kind,method,seed,fold,n_hit_candidates,recall_at_1,recall_at_3,recall_at_5
composition::Stromal cells,0,1,2,0,0.3333333333333333,0.4,0.3333333333333333,3.0,False,composition,bc_jackson2020,motif_tumor_high,control,shap,0,0,14,0.0,0.3333333333333333,0.4
composition::Stromal cells,0,1,3,0,0.3333333333333333,0.6,0.5,2.0,False,composition,bc_jackson2020,motif_tumor_high,control,shap,0,1,14,0.0,0.3333333333333333,0.6
composition::Stromal cells,0,1,2,0,0.3333333333333333,0.4,0.5,2.0,False,composition,bc_jackson2020,motif_tumor_high,control,shap,0,2,14,0.0,0.3333333333333333,0.4
composition::Stromal cells,0,1,2,0,0.3333333333333333,0.4,0.3333333333333333,3.0,False,composition,bc_jackson2020,motif_tumor_high,control,shap,0,3,14,0.0,0.3333333333333333,0.4
composition::Stromal cells,0,1,3,0,0.3333333333333333,0.6,0.3333333333333333,3.0,False,composition,bc_jackson2020,motif_tumor_high,control,shap,0,4,14,0.0,0.3333333333333333,0.6
composition::Stromal cells,0,1,2,0,0.3333333333333333,0.4,0.3333333333333333,3.0,False,composition,bc_jackson2020,motif_tumor_high,control,shap,1,0,14,0.0,0.3333333333333333,0.4
composition::Stromal cells,0,1,2,0,0.3333333333333333,0.4,0.3333333333333333,3.0,False,composition,bc_jackson2020,motif_tumor_high,control,shap,1,1,14,0.0,0.3333333333333333,0.4
composition::Stromal cells,0,1,3,0,0.3333333333333333,0.6,0.5,2.0,False,composition,bc_jackson2020,motif_tumor_high,control,shap,1,2,14,0.0,0.3333333333333333,0.6
composition::Stromal cells,0,1,2,0,0.3333333333333333,0.4,0.3333333333333333,3.0,False,composition,bc_jackson2020,motif_tumor_high,control,shap,1,3,14,0.0,0.3333333333333333,0.4
composition::Stromal cells,0,1,2,0,0.3333333333333333,0.4,0.3333333333333333,3.0,False,composition,bc_jackson2020,motif_tumor_high,control,shap,1,4,14,0.0,0.3333333333333333,0.4
composition::Stromal cells,0,1,2,0,0.3333333333333333,0.4,0.3333333333333333,3.0,False,composition,bc_jackson2020,motif_tumor_high,control,shap,2,0,14,0.0,0.3333333333333333,0.4
composition::Stromal cells,0,1,2,0,0.3333333333333333,0.4,0.3333333333333333,3.0,False,composition,bc_jackson2020,motif_tumor_high,control,shap,2,1,14,0.0,0.3333333333333333,0.4
composition::Stromal cells,0,1,2,0,0.3333333333333333,0.4,0.5,2.0,False,composition,bc_jackson2020,motif_tumor_high,control,shap,2,2,14,0.0,0.3333333333333333,0.4
composition::Stromal cells,0,1,2,0,0.3333333333333333,0.4,0.3333333333333333,3.0,False,composition,bc_jackson2020,motif_tumor_high,control,shap,2,3,14,0.0,0.3333333333333333,0.4
composition::Stromal cells,0,1,2,0,0.3333333333333333,0.4,0.3333333333333333,3.0,False,composition,bc_jackson2020,motif_tumor_high,control,shap,2,4,14,0.0,0.3333333333333333,0.4
composition::Myoepithelial,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_metabric_ali2020,motif_interface_immune,spatial,lasso,0,0,0,0.0,0.0,0.0
composition::Myoepithelial,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_metabric_ali2020,motif_interface_immune,spatial,lasso,0,1,0,0.0,0.0,0.0
composition::Myoepithelial,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_metabric_ali2020,motif_interface_immune,spatial,lasso,0,2,0,0.0,0.0,0.0
composition::Myoepithelial,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_metabric_ali2020,motif_interface_immune,spatial,lasso,0,3,0,0.0,0.0,0.0
